Location,State,Total Biomass Residue (thousand tonnes/yr),Crop Residue,Manure Residue,Forest Residue,Primary Mill Residue,Secondary Mill Residue,Urban Residue,Landfill Residue
Douglas,Oregon,939507.229,0.000,65.228,284612.000,636326.000,595.742,12625.078,5117.161
Idaho,Idaho,129653.444,60366.886,121.900,67144.000,0.000,8.165,1986.844,0.000
Klamath,Oregon,431779.929,35711.086,840.639,71867.000,311994.000,1053.583,7758.164,2450.000
Coos,Oregon,314444.597,0.000,488.842,125610.000,179586.000,1000.512,7655.432,0.000
Lewis,Idaho,84042.379,67633.757,3.041,16051.000,0.000,0.000,348.384,0.000
Lyon,Iowa,317599.821,291215.139,2986.514,38.000,0.000,252.965,1304.066,0.000
Calhoun,Illinois,90052.277,28933.423,130.637,10193.000,0.000,0.000,540.631,0.000
Sully,South Dakota,148752.526,72755.661,57.122,0.000,0.000,0.000,138.796,0.000
Clay,Illinois,199075.120,87579.075,719.687,12945.000,19165.000,0.000,1729.866,0.000
Butler,Ohio,99404.808,29171.965,396.576,4442.000,11246.000,3021.048,37839.360,8029.161
Warren,Ohio,73963.326,29329.326,106.820,354.000,0.000,1991.959,17623.324,21329.452
Madison,New York,57351.479,13590.386,305.852,20842.000,6741.000,8.165,7606.239,5226.361
Bureau,Illinois,510896.477,457925.220,1311.631,3452.000,0.000,20.412,3956.938,0.000
Henry,Illinois,535385.771,439901.975,2906.859,4015.000,0.000,8.165,5607.011,2450.000
Ontario,New York,78865.786,33025.864,250.562,11877.000,3913.000,1506.442,10806.799,7708.606
Niagara,New York,83855.294,30726.393,136.600,125.000,0.000,2244.924,23959.984,21781.000
Seneca,New York,77346.735,32555.862,124.418,1683.000,0.000,248.882,3746.509,37513.161
Livingston,New York,101381.827,43114.753,251.945,4377.000,9925.000,273.377,7059.554,12419.001
Lawrence,South Dakota,142642.920,43.086,85.788,39535.000,100986.000,12.247,1944.748,0.000
Hughes,South Dakota,74370.063,24831.132,540.000,0.000,0.000,4.082,1651.672,0.000
Cattaraugus,New York,135456.744,6877.891,242.803,50832.000,53880.000,1286.136,9158.086,0.000
Fulton,Illinois,357795.623,264261.880,1357.171,28810.000,12137.000,4.082,4339.833,0.000
Hancock,Illinois,448294.338,314904.317,1789.461,12873.000,10740.000,4.082,2412.001,0.000
Pennington,South Dakota,90353.980,12616.740,176.751,35945.000,32398.000,807.883,8263.156,0.000
Sioux,Iowa,486060.249,441567.261,8129.733,1.000,0.000,16.330,3712.123,2676.625
Menominee,Wisconsin,68365.332,0.000,0.000,67782.000,0.000,0.000,453.316,0.000
Hale,Alabama,100963.153,0.000,188.808,40682.000,0.000,8.165,2014.921,0.000
Pope,Arkansas,198496.373,7074.393,5951.490,21223.000,154637.000,497.765,6392.682,0.000
Cowlitz,Washington,950539.850,0.000,167.874,202429.000,726653.000,767.059,11496.218,8873.000
Poinsett,Arkansas,323512.722,303496.055,2.857,38.000,0.000,24.494,2926.176,0.000
Clark,Washington,258645.810,0.000,647.589,5976.000,194860.000,5605.567,38952.606,12033.161
Klickitat,Washington,50221.270,18323.164,24.763,3027.000,0.000,4.082,2217.414,26593.161
White,Arkansas,256228.938,50400.314,1058.703,36002.000,39117.000,1298.383,7616.533,0.000
Essex,Vermont,120504.336,0.000,39.104,100874.000,18578.000,277.459,725.091,0.000
Nassau,Florida,192774.843,0.000,67.663,62136.000,123033.000,510.012,6344.228,588.588
El Paso,Texas,112424.058,8819.056,1440.154,0.000,0.000,6576.602,74331.423,20133.000
Gadsden,Florida,156818.304,801.770,7.663,48015.000,90135.000,297.871,4858.219,0.000
Shelby,Texas,176839.512,0.000,2106.293,60735.000,109772.000,746.647,3437.862,0.000
Lincoln,South Dakota,247445.333,224779.068,782.285,312.000,0.000,277.459,2334.056,0.000
Charles Mix,South Dakota,137558.599,91443.022,1457.373,3036.000,0.000,244.800,1015.584,0.000
Clayton,Iowa,549654.091,215081.051,4690.546,21707.000,10639.000,497.765,1926.528,0.000
Plymouth,Iowa,500598.754,417875.408,3887.770,647.000,0.000,0.000,2835.371,0.000
Yankton,South Dakota,121526.337,93942.517,714.445,587.000,0.000,248.882,2112.928,0.000
Bon Homme,South Dakota,81358.569,59714.190,726.914,29.000,0.000,0.000,829.155,0.000
Union,South Dakota,191210.128,162158.679,968.742,0.000,0.000,252.965,1485.618,0.000
Greenville,South Carolina,87065.272,212.367,12.640,21962.000,0.000,5613.732,42807.134,10479.000
Spartanburg,South Carolina,90393.954,190.637,534.618,29194.000,0.000,4303.102,28859.792,16795.000
Cherokee,South Carolina,51487.818,122.794,12.065,26391.000,0.000,265.212,6133.821,7301.161
York,South Carolina,169595.809,247.450,294.597,43883.000,92334.000,771.142,18456.537,8312.803
Oconee,South Carolina,90154.309,812.925,1986.002,32255.000,41071.000,1498.277,7478.296,1835.702
Edgefield,South Carolina,52254.268,398.639,364.252,34116.000,0.000,24.494,3016.370,0.000
Clarendon,South Carolina,132802.292,30155.527,2156.286,20945.000,21900.000,489.600,3807.763,0.000
Williamsburg,South Carolina,123435.059,16990.040,530.879,45518.000,0.000,8.165,4696.929,0.000
